name;url_city;totalVotes;mascVotes;femnVotes
Salvador;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/salvador-ba/;1827436;1022159;805276
Abaíra;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/abaira-ba/;6909;3564;3342
Abaré;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/abare-ba/;12713;6404;6302
Acajutiba;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/acajutiba-ba/;11138;5854;5283
Adustina;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/adustina-ba/;11118;5776;5342
Água Fria;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/agua-fria-ba/;12009;6100;5908
Aiquara;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/aiquara-ba/;3787;1867;1920
Alagoinhas;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/alagoinhas-ba/;103306;56574;46732
Alcobaça;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/alcobaca-ba/;17010;8409;8587
Almadina;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/almadina-ba/;5022;2546;2475
Amargosa;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/amargosa-ba/;26504;14081;12417
Amélia Rodrigues;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/amelia-rodrigues-ba/;18144;9603;8527
América Dourada;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/america-dourada-ba/;12789;6417;6367
Anagé;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/anage-ba/;18348;9221;9123
Andaraí;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/andarai-ba/;10611;5327;5278
Andorinha;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/andorinha-ba/;11618;5716;5902
Angical;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/angical-ba/;12408;5979;6428
Anguera;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/anguera-ba/;8831;4507;4323
Antas;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/antas-ba/;10608;5375;5232
Antônio Cardoso;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/antonio-cardoso-ba/;10724;5623;5101
Antônio Gonçalves;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/antonio-goncalves-ba/;8196;4142;4051
Aporá;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/apora-ba/;13237;6598;6620
Apuarema;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/apuarema-ba/;5182;2623;2559
Araças;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/aracas-ba/;9206;4713;4493
Aracatu;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/aracatu-ba/;10999;5328;5671
Araci;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/araci-ba/;39968;20145;19810
