url_source_gov;governor;url_the_city;name;percentage;votes
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/caetanos-ba/governador/;Caetanos;95,66%;6.089
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/souto-soares-ba/governador/;Souto Soares;95,17%;8.772
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/iraquara-ba/governador/;Iraquara;95,02%;11.077
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/dom-basilio-ba/governador/;Dom Basílio;94,69%;6.228
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/jucurucu-ba/governador/;Jucuruçu;94,60%;4.710
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/andorinha-ba/governador/;Andorinha;94,59%;7.837
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/iuiu-ba/governador/;Iuiu;94,49%;5.319
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/gloria-ba/governador/;Glória;94,11%;7.980
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/seabra-ba/governador/;Seabra;94,11%;21.373
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itaguacu-da-bahia-ba/governador/;Itaguaçu da Bahia;93,92%;6.191
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/jandaira-ba/governador/;Jandaíra;93,81%;4.770
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/cardeal-da-silva-ba/governador/;Cardeal da Silva;93,76%;3.966
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/sao-gabriel-ba/governador/;São Gabriel;93,66%;10.286
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ribeira-do-amparo-ba/governador/;Ribeira do Amparo;93,40%;6.740
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/igapora-ba/governador/;Igaporã;93,26%;7.205
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/bom-jesus-da-serra-ba/governador/;Bom Jesus da Serra;93,01%;4.908
