Município [-];Código [-];Gentílico [-];Prefeito [2021];Área Territorial - km² [2021];População estimada - pessoas [2021];Densidade demográfica - hab/km² [2010];Escolarização <span>6 a 14 anos</span> - % [2010];IDHM [2010];Mortalidade infantil - óbitos por mil nascidos vivos [2020];Receitas realizadas - R$ (×1000) [2017];Despesas empenhadas - R$ (×1000) [2017];PIB per capita - R$ [2019]
Abaíra;2900108;abairense;EDVAL LUZ SILVA;538,677;8681;15,68;97,2;0,603;21,74;19330,58368;18286,42314;7168,52
Abaré;2900207;abareense;FERNANDO JOSE TEIXEIRA TOLENTINO;1604,923;20594;11,49;96,5;0,575;9,43;42471,16812;42835,65272;7530,64
Acajutiba;2900306;acajutibense;ALEXSANDRO MENEZES DE FREITAS;181,475;15214;81,34;98;0,582;25,16;32322,40145;31257,68537;8380,48
Adustina;2900355;adustinense;PAULO SERGIO OLIVEIRA DOS SANTOS;629,099;17209;24,84;98,1;0,546;20,98;33518,91406;29163,99544;10180,39
Água Fria;2900405;água-friense;RENAN ARAUJO BARROS;742,775;17096;23,77;97;0,55;7,87;40463,75677;39741,1561;7722,13
Érico Cardoso;2900504;érico-cardosense;ERALDO FÉLIX DA SILVA;735,249;10513;15,48;98,8;0,584;27,78;25842,85175;24637,11888;6560,69
Aiquara;2900603;aiquarense;DELMAR RIBEIRO;167,877;4387;28,82;98,4;0,583;-;15908,16508;13995,20875;10290,23
Alagoinhas;2900702;alagoinhense;JOAQUIM BELARMINO CARDOSO NETO;707,835;153023;188,67;97,4;0,683;11,7;357419,919;319462,7496;28109,5
Alcobaça;2900801;alcobacense;GIVALDO MUNIZ;1477,929;22509;14,36;96,5;0,608;6,01;50627,98373;53604,60982;12843,74
Almadina;2900900;almadinense;MILTON SILVA CERQUEIRA;245,236;5273;25,32;95,3;0,563;50,85;17495,20557;14754,30679;9708,08
Amargosa;2901007;amargosense;JÚLIO PINHEIRO DOS SANTOS JÚNIOR;431,655;37631;74,16;96,8;0,625;2,18;63402,10611;57123,31855;10559,06
Amélia Rodrigues;2901106;ameliense;PAULO CESAR BAHIA FALCÃO;166,872;24997;145,2;99,2;0,666;28,57;64865,97567;50406,69731;13191,02
América Dourada;2901155;américo-douradense;JOELSON CARDOSO DO ROSÁRIO;822,373;16086;19,05;96,6;0,561;23,92;38585,45557;35184,13685;8286,65
Anagé;2901205;anageense;ROGERIO BONFIM SOARES;1899,683;21229;13,1;96;0,54;20,75;47758,835;44111,71088;8428,08
Andaraí;2901304;andaraiense;WILSON PAES CARDOSO;1590,316;13122;7,5;97,8;0,555;22,22;37286,40876;35402,28578;8416,2
Andorinha;2901353;andorinhense;RENATO BRANDÃO DE OLIVEIRA;1362,386;14416;11,55;98;0,588;11,3;41097,00995;41307,78564;13417,3
Angical;2901403;angicalense;EMERSON MARIANI DIAS;1530,05;13902;9,21;96,9;0,625;21,74;35075,99781;32587,16641;10138,2
Anguera;2901502;anguerense;MAURO SELMO OLIVEIRA VIEIRA;187,84;11369;57,85;98,2;0,589;37,74;24305,57887;21757,55072;7572,87
Antas;2901601;antense;MANOEL SIDONIO NASCIMENTO NILO;319,745;19659;53,08;94,3;0,592;13,07;33697,6196;31374,63216;6594,16
Antônio Cardoso;2901700;cardosense;MARIA DE LOURDES CARVALHO MOURA BASTOS;293,53;11670;39,24;95,8;0,561;21,28;26978,05908;29852,7557;9442,99
Antônio Gonçalves;2901809;antônio-gonçalvense;DJALMA DE FREITAS CARDOSO NETO;345,284;11955;35,09;98,4;0,598;6,25;27262,32163;25236,58554;6184,73
Aporá;2901908;aporense;CARINE DANTAS DE MENEZES NEGREIROS;479,262;17840;31,56;97,6;0,548;5,92;68717,29437;50045,7121;7534,09
Apuarema;2901957;apuaremense;JORGE ROGERIO COSTA SOUZA;150,83;7274;48,17;95,9;0,552;9,71;19781,94216;20934,67448;8893,42
Aracatu;2902005;aracatuense;BRAULINA LIMA SILVA;1489,803;12960;9,22;97,7;0,581;12,66;34674,69988;31359,75377;8886,31
Araçás;2902054;araçaense;AGAMENON OLIVEIRA COELHO;474,577;12237;23,73;98,1;0,57;13,25;42985,07489;39520,18435;19974,72
Araci;2902104;araciense;MARIA BETIVANIA LIMA DA SILVA;1496,245;54903;33,19;97,4;0,534;12,1;104996,0919;102013,6408;8005,65
Aramari;2902203;aramariense;FIDEL CARLOS SOUZA DANTAS;368,947;11519;30,44;96,3;0,588;-;23718,87023;21221,15801;8502,95
Arataca;2902252;arataquense;FERNANDO MANSUR GONZAGA;435,962;10904;27,7;95,6;0,559;7,19;27011,70541;27502,1615;8117,54
Aratuípe;2902302;aratuipense;ANTONIO MARCOS ARAUJO DE SOUZA;174,012;8848;47,47;98,4;0,575;37,04;18702,70458;17462,23993;7802,74
Aurelino Leal;2902401;aurelinense;RODRIGO CALAZANS DE ANDRADE;445,394;11079;29,7;95,5;0,568;31,58;31326,74233;31148,26058;9502,03
Baianópolis;2902500;baianopolense;JANDIRA SOARES SILVA XAVIER;3320,723;13979;4,14;98,7;0,589;-;35529,72286;32558,04391;12211,53
Baixa Grande;2902609;baixa-grandense;GILVAN RIOS DA SILVA;967,514;20431;21,19;97,2;0,585;4,9;42685,91617;42958,68826;7669,59
Banzaê;2902658;banzaêense;JAILMA DANTAS GAMA ALVES;409,507;13251;51,92;98,1;0,579;31,06;54997,45561;31721,00301;6920,68
Barra;2902708;barrense;ARTUR SILVA FILHO;11428,112;54225;4,32;97;0,557;17,99;113205,9988;98837,37754;7100,75
Barra da Estiva;2902807;barrestivense;JOAO MACHADO RIBEIRO;1657,413;20198;15,73;96,8;0,575;9,5;48777,53571;47589,84269;12770,72
Barra do Choça;2902906;barra-chocense;OBERDAM ROCHA DIAS;765,936;30831;44,42;96,9;0,551;18,52;76256,21637;74493,8422;12441,96
Barra do Mendes;2903003;barra-mendense;ANTONIO BARRETO DE OLIVEIRA;1436,298;13128;9,08;97,5;0,63;27,03;32974,08398;32377,00988;7057,25
Barra do Rocha;2903102;barra-rochense;JOSÉ LUIZ FRANCO RAMOS COSTA;214,411;5515;30,3;95,7;0,577;-;18310,5046;15009,68036;11055,59
Barreiras;2903201;barreirense;JOÃO BARBOSA DE SOUZA SOBRINHO;8051,274;158432;17,49;97,5;0,721;13,75;567804,3319;355393,7249;33313,17
Barro Alto;2903235;barro-altino;ORLANDO AMORIM SANTOS;414,51;15171;32,68;98,4;0,607;19,23;31224,34375;30355,90133;6713,25
Barrocas;2903276;barroquense;JOSÉ JAILSON LIMA FERREIRA;207,297;16225;70,61;98,7;0,61;17,65;41045,17185;35140,96527;14416,97
Barro Preto;2903300;barro-pretense;JURACI DIAS DE JESUS;201,585;5312;50,26;96,2;0,602;16,39;21268,91758;19406,89769;10899,03
Belmonte;2903409;belmontense;CARLOS ALBERTO REZENDE GAMA;1939,447;23540;11,06;96,5;0,598;15,82;60821,87548;53345,16834;13649,32
Belo Campo;2903508;belo-campense;JOSÉ HENRIQUE SILVA TIGRE;772,756;17013;25,47;95,2;0,575;31,96;43220,3637;44273,03524;8491,27
Biritinga;2903607;biritinguense;GILMARIO SOUZA DE OLIVEIRA;553,762;15989;26,97;98;0,538;28,04;53104,52128;41916,12533;8037,85
Boa Nova;2903706;boa-novense;ADONIAS DA ROCHA PIRES DE ALMEIDA;849,538;12039;17,74;97,2;0,567;22,73;33495,90768;32413,9155;7723,44
Boa Vista do Tupim;2903805;tupinense;HELDER LOPES CAMPOS;2972,109;18491;6,4;96,8;0,551;4,27;43572,43706;41674,3456;6890,14
Bom Jesus da Lapa;2903904;lapense;FABIO NUNES DIAS;4115,51;70151;15,11;95,7;0,633;13,8;171160,4596;158579,8874;16025,54
Bom Jesus da Serra;2903953;bom-jesuense;JORNANDO VILASBOAS ALVES;467,813;9768;23,99;98,3;0,546;16;25666,31249;23623,96399;6311,74
Boninal;2904001;boninalense;CELESTE AUGUSTA ARAUJO PAIVA;896,857;14518;14,66;96,3;0,612;5,56;27482,58419;28380,33364;6788,98
Bonito;2904050;bonitense;REINAN CEDRO DE OLIVEIRA;791,276;16999;20,42;97,6;0,561;4,08;47870,89941;43286,7039;9891,34
Boquira;2904100;boquirense;LUCIANO DE OLIVEIRA E SILVA;1426,233;21486;14,86;98,8;0,603;8,1;59607,65723;44853,9898;7730,22
Botuporã;2904209;botuporãense;OTAVIANO JOAQUIM FILHO;627,612;10050;17,28;98,1;0,575;15,15;33136,33714;33891,04412;9251,5
Brejões;2904308;brejoense;ALESSANDRO RODRIGUES BRANDAO CORREIA;518,566;14155;29,7;97,9;0,597;14,39;34703,95435;34915,04467;8551,36
Brejolândia;2904407;brejolandense;EDEZIO NUNES BASTOS;2247,208;10675;4,04;98,4;0,592;20,41;38404,39069;28605,60327;9028,37
Brotas de Macaúbas;2904506;brotense;ANTONIO KLEBER RIBEIRO;2520,817;10705;4,78;97,6;0,57;13,7;30171,77925;27817,73915;8196,59
Brumado;2904605;brumadense;EDUARDO LIMA VASCONCELOS;2207,612;67468;29,01;96,8;0,656;7,01;194916,3286;133344,0937;25705,48
Buerarema;2904704;bueraremense;VINÍCIUS IBRANN DANTAS ANDRADE OLIVEIRA;219,487;18269;80,73;91,5;0,613;19,8;33821,5011;32069,88119;11425,49
Buritirama;2904753;buritiramense;ARIVAL MARQUES VIANA;4046,736;21374;4,97;97,3;0,565;22,58;47738,86475;44772,191;6535,04
Caatiba;2904803;caatibense;MARIA TANIA RIBEIRO SOUSA;512,436;6232;22,14;89,9;0,561;-;29996,77108;21531,20888;9749,07
Cabaceiras do Paraguaçu;2904852;cabaceirense;PEDRO ANDRE BRAZ SILVA SANTANA;222,026;19010;76,66;98,8;0,581;43,27;59279,91874;43755,99293;6914,99
Cachoeira;2904902;cachoeirano;ELIANA GONZAGA DE JESUS;394,894;33659;81,03;97,8;0,647;11,11;70230,57303;52722,54062;12882,29
Caculé;2905008;caculense;PEDRO DIAS DA SILVA;610,983;23407;33,27;97,3;0,637;12,9;53523,40714;42783,34519;12363,09
Caém;2905107;caenense;ARNALDO DE OLIVEIRA FILHO;540,908;8912;18,91;98,8;0,546;13,42;44123,49904;27512,84787;8708,16
Caetanos;2905156;caetanense;PAULO ALVES DOS REIS;767,146;14671;17,61;96,9;0,542;-;29547,53608;27892,98121;6153,41
Caetité;2905206;caetiteense;VALTÉCIO NEVES AGUIAR;2651,536;51184;19,45;98,3;0,625;7,4;111926,1743;105926,6684;17758,11
Cafarnaum;2905305;cafarnauense;SUELI FERNANDES DE SOUZA NOVAIS;643,66;18585;25,49;98,6;0,584;12,45;46295,10559;42338,8368;8408,67
