"Local", "undefined"
"Abaíra", 0.603
"Abaré", 0.575
"Acajutiba", 0.582
"Adustina", 0.546
"Água Fria", 0.550
"Érico Cardoso", 0.584
"Aiquara", 0.583
"Alagoinhas", 0.683
"Alcobaça", 0.608
"Almadina", 0.563
"Amargosa", 0.625
"Amélia Rodrigues", 0.666
"América Dourada", 0.561
"Anagé", 0.540
"Andaraí", 0.555
"Andorinha", 0.588
"Angical", 0.625
"Anguera", 0.589
"Antas", 0.592
"Antônio Cardoso", 0.561
"Antônio Gonçalves", 0.598
"Aporá", 0.548
"Apuarema", 0.552
"Aracatu", 0.581
"Araçás", 0.570
"Araci", 0.534
"Aramari", 0.588
"Arataca", 0.559
"Aratuípe", 0.575
"Aurelino Leal", 0.568
"Baianópolis", 0.589
"Baixa Grande", 0.585
"Banzaê", 0.579
"Barra", 0.557
"Barra da Estiva", 0.575
"Barra do Choça", 0.551
"Barra do Mendes", 0.630
"Barra do Rocha", 0.577
"Barreiras", 0.721
"Barro Alto", 0.607
"Barrocas", 0.610
"Barro Preto", 0.602
"Belmonte", 0.598
"Belo Campo", 0.575
"Biritinga", 0.538
"Boa Nova", 0.567
"Boa Vista do Tupim", 0.551
"Bom Jesus da Lapa", 0.633
"Bom Jesus da Serra", 0.546
"Boninal", 0.612
"Bonito", 0.561
"Boquira", 0.603
"Botuporã", 0.575
"Brejões", 0.597
"Brejolândia", 0.592
"Brotas de Macaúbas", 0.570
"Brumado", 0.656
"Buerarema", 0.613
"Buritirama", 0.565
"Caatiba", 0.561
"Cabaceiras do Paraguaçu", 0.581
"Cachoeira", 0.647
"Caculé", 0.637
"Caém", 0.546
"Caetanos", 0.542
"Caetité", 0.625
"Cafarnaum", 0.584
"Cairu", 0.627
"Caldeirão Grande", 0.573
"Camacan", 0.581
"Camaçari", 0.694
"Camamu", 0.565
"Campo Alegre de Lourdes", 0.557
"Campo Formoso", 0.586
"Canápolis", 0.565
"Canarana", 0.587
"Canavieiras", 0.590
"Candeal", 0.587
"Candeias", 0.691
"Candiba", 0.591
