"Local", "undefined"
"Abaíra", 62645.67
"Abaré", 151260.34
"Acajutiba", 127039.72
"Adustina", 173473.91
"Água Fria", 131044.52
"Érico Cardoso", 69608.97
"Aiquara", 45750.35
"Alagoinhas", 4261287.91
"Alcobaça", 288598.81
"Almadina", 53044.96
"Amargosa", 393230.00
"Amélia Rodrigues", 331121.08
"América Dourada", 133365.28
"Anagé", 185459.96
"Andaraí", 110614.09
"Andorinha", 195825.47
"Angical", 141701.57
"Anguera", 84975.22
"Antas", 127207.98
"Antônio Cardoso", 110322.43
"Antônio Gonçalves", 72967.40
"Aporá", 133587.00
"Apuarema", 65188.77
"Aracatu", 116721.63
"Araçás", 243232.23
"Araci", 435339.32
"Aramari", 96908.13
"Arataca", 89447.13
"Aratuípe", 68859.22
"Aurelino Leal", 109567.96
"Baianópolis", 169459.39
"Baixa Grande", 156981.17
"Banzaê", 91553.68
"Barra", 380443.95
"Barra da Estiva", 263051.25
"Barra do Choça", 393203.20
"Barra do Mendes", 97848.82
"Barra do Rocha", 63171.67
"Barreiras", 5178166.44
"Barro Alto", 100235.54
"Barrocas", 230354.34
"Barro Preto", 60936.49
"Belmonte", 318411.27
"Belo Campo", 146143.17
"Biritinga", 128436.85
"Boa Nova", 97570.26
"Boa Vista do Tupim", 127991.26
"Bom Jesus da Lapa", 1108134.00
"Bom Jesus da Serra", 62359.97
"Boninal", 97544.05
"Bonito", 165818.48
"Boquira", 166261.64
"Botuporã", 94467.10
"Brejões", 122241.71
"Brejolândia", 95312.50
"Brotas de Macaúbas", 83859.35
"Brumado", 1727280.06
"Buerarema", 209646.34
"Buritirama", 138373.00
"Caatiba", 65884.21
"Cabaceiras do Paraguaçu", 130050.25
"Cachoeira", 431170.25
"Caculé", 286452.79
"Caém", 80228.24
"Caetanos", 89482.84
"Caetité", 905219.64
"Cafarnaum", 155030.71
"Cairu", 1059092.13
"Caldeirão Grande", 97023.49
"Camacan", 293318.49
"Camaçari", 26244432.85
"Camamu", 359393.77
"Campo Alegre de Lourdes", 242019.18
"Campo Formoso", 967447.21
"Canápolis", 69642.28
"Canarana", 208360.54
"Canavieiras", 343813.46
"Candeal", 58468.45
"Candeias", 4681094.54
"Candiba", 120458.99
"Cândido Sales", 210362.61
"Cansanção", 285990.51
"Canudos", 132498.51
"Capela do Alto Alegre", 96726.66
"Capim Grosso", 426974.16
"Caraíbas", 76677.33
"Caravelas", 345706.00
"Cardeal da Silva", 118803.00
"Carinhanha", 244518.30
"Casa Nova", 758000.13
"Castro Alves", 294942.12
"Catolândia", 76671.03
"Catu", 646068.53
"Caturama", 64268.19
"Central", 167581.60
"Chorrochó", 81333.56
"Cícero Dantas", 297265.41
"Cipó", 134505.79
"Coaraci", 173128.56
"Cocos", 297565.80
"Conceição da Feira", 310788.02
"Conceição do Almeida", 175026.51
"Conceição do Coité", 759909.30
"Conceição do Jacuípe", 2936276.82
"Conde", 285928.46
"Condeúba", 157739.75
"Contendas do Sincorá", 42285.97
"Coração de Maria", 201272.64
"Cordeiros", 61703.27
"Coribe", 138545.70
"Coronel João Sá", 146878.86
"Correntina", 1466469.13
"Cotegipe", 137364.83
"Cravolândia", 41140.63
"Crisópolis", 167383.35
"Cristópolis", 123122.89
"Cruz das Almas", 981147.27
"Curaçá", 316642.58
"Dário Meira", 104508.19
"Dias d'Ávila", 3456357.78
"Dom Basílio", 118124.22
"Dom Macedo Costa", 36152.29
"Elísio Medrado", 63239.13
"Encruzilhada", 193252.84
"Entre Rios", 600401.30
"Esplanada", 632120.11
"Euclides da Cunha", 646169.93
"Eunápolis", 3144084.91
"Fátima", 213111.66
"Feira da Mata", 53939.97
"Feira de Santana", 14898191.63
"Filadélfia", 126951.19
"Firmino Alves", 51339.80
"Floresta Azul", 85447.51
"Formosa do Rio Preto", 1852275.89
"Gandu", 388942.20
"Gavião", 41048.24
"Gentio do Ouro", 141056.91
"Glória", 196886.84
"Gongogi", 62647.09
"Governador Mangabeira", 187798.10
"Guajeru", 56939.64
"Guanambi", 1449607.00
"Guaratinga", 206919.09
"Heliópolis", 105043.54
"Iaçu", 212586.22
"Ibiassucê", 88088.39
"Ibicaraí", 190188.89
"Ibicoara", 390912.39
"Ibicuí", 157102.97
"Ibipeba", 137877.86
"Ibipitanga", 105612.04
"Ibiquera", 29686.14
"Ibirapitanga", 233465.44
"Ibirapuã", 275589.72
"Ibirataia", 180626.68
"Ibitiara", 107053.10
"Ibititá", 128200.12
"Ibotirama", 368931.96
"Ichu", 47055.17
"Igaporã", 188774.86
"Igrapiúna", 161356.70
"Iguaí", 211740.45
"Ilhéus", 4667858.46
"Inhambupe", 572497.49
"Ipecaetá", 88566.36
"Ipiaú", 477374.16
"Ipirá", 627770.33
"Ipupiara", 84693.50
"Irajuba", 72114.93
"Iramaia", 85486.93
"Iraquara", 507644.86
"Irará", 262714.99
"Irecê", 1334260.53
"Itabela", 375921.03
"Itaberaba", 883473.65
"Itabuna", 4183237.59
"Itacaré", 331387.31
"Itaeté", 103524.74
"Itagi", 107016.44
"Itagibá", 205955.34
"Itagimirim", 111390.96
"Itaguaçu da Bahia", 126487.31
"Itaju do Colônia", 73034.05
"Itajuípe", 226756.89
"Itamaraju", 955318.28
"Itamari", 89327.28
"Itambé", 249033.96
"Itanagra", 67806.03
"Itanhém", 229115.48
"Itaparica", 245324.91
"Itapé", 93669.84
"Itapebi", 290484.52
"Itapetinga", 1177520.68
"Itapicuru", 317911.86
"Itapitanga", 78453.59
"Itaquara", 75861.37
"Itarantim", 267604.70
"Itatim", 369785.86
"Itiruçu", 102521.09
"Itiúba", 285424.89
"Itororó", 202461.08
"Ituaçu", 163237.99
"Ituberá", 320421.30
"Iuiu", 104129.15
"Jaborandi", 579706.37
"Jacaraci", 111063.40
"Jacobina", 1304071.81
"Jaguaquara", 582158.33
"Jaguarari", 745957.40
"Jaguaripe", 179681.67
"Jandaíra", 130313.46
"Jequié", 2692500.23
"Jeremoabo", 369462.98
"Jiquiriçá", 117538.30
"Jitaúna", 148674.44
"João Dourado", 235097.13
"Juazeiro", 4349594.99
"Jucuruçu", 93415.91
"Jussara", 108452.86
"Jussari", 59644.44
"Jussiape", 59059.67
"Lafaiete Coutinho", 43509.00
"Lagoa Real", 96846.03
"Laje", 250733.44
"Lajedão", 71455.08
"Lajedinho", 63633.47
"Lajedo do Tabocal", 69708.28
"Lamarão", 56091.69
"Lapão", 253001.07
"Lauro de Freitas", 6556097.01
"Lençóis", 129236.88
"Licínio de Almeida", 116393.80
"Livramento de Nossa Senhora", 504589.49
"Luís Eduardo Magalhães", 6105421.88
"Macajuba", 77748.79
"Macarani", 178575.62
"Macaúbas", 389297.57
"Macururé", 53843.28
"Madre de Deus", 513715.26
"Maetinga", 46349.11
"Maiquinique", 110432.63
"Mairi", 129137.19
"Malhada", 153124.07
"Malhada de Pedras", 67222.91
"Manoel Vitorino", 144278.65
"Mansidão", 86613.16
"Maracás", 445095.91
"Maragogipe", 323346.67
"Maraú", 250044.83
"Marcionílio Souza", 80645.95
"Mascote", 135591.22
"Mata de São João", 1176316.24
"Matina", 77887.54
"Medeiros Neto", 319877.24
"Miguel Calmon", 230576.78
"Milagres", 109630.58
"Mirangaba", 126791.93
"Mirante", 63564.89
"Monte Santo", 394725.90
"Morpará", 67311.53
"Morro do Chapéu", 341727.92
"Mortugaba", 97533.00
"Mucugê", 438306.41
"Mucuri", 1785358.42
"Mulungu do Morro", 100743.49
"Mundo Novo", 171093.60
"Muniz Ferreira", 55270.84
"Muquém do São Francisco", 181298.78
"Muritiba", 271854.98
"Mutuípe", 353058.77
"Nazaré", 274043.02
"Nilo Peçanha", 139940.65
"Nordestina", 159551.81
"Nova Canaã", 138628.86
"Nova Fátima", 86854.78
"Nova Ibiá", 84455.52
"Nova Itarana", 56258.37
"Nova Redenção", 63878.23
"Nova Soure", 223233.83
"Nova Viçosa", 499157.39
"Novo Horizonte", 85357.78
"Novo Triunfo", 83168.16
"Olindina", 207760.99
"Oliveira dos Brejinhos", 177317.91
"Ouriçangas", 60239.42
"Ourolândia", 187450.05
"Palmas de Monte Alto", 181038.57
"Palmeiras", 82473.08
"Paramirim", 238213.54
"Paratinga", 231958.59
