"Local", "PIB per capita"
"Abaíra", 7168.52
"Abaré", 7530.64
"Acajutiba", 8380.48
"Adustina", 10180.39
"Água Fria", 7722.13
"Érico Cardoso", 6560.69
"Aiquara", 10290.23
"Alagoinhas", 28109.50
"Alcobaça", 12843.74
"Almadina", 9708.08
"Amargosa", 10559.06
"Amélia Rodrigues", 13191.02
"América Dourada", 8286.65
"Anagé", 8428.08
"Andaraí", 8416.20
"Andorinha", 13417.30
"Angical", 10138.20
"Anguera", 7572.87
"Antas", 6594.16
"Antônio Cardoso", 9442.99
"Antônio Gonçalves", 6184.73
"Aporá", 7534.09
"Apuarema", 8893.42
"Aracatu", 8886.31
"Araçás", 19974.72
"Araci", 8005.65
"Aramari", 8502.95
"Arataca", 8117.54
"Aratuípe", 7802.74
"Aurelino Leal", 9502.03
"Baianópolis", 12211.53
"Baixa Grande", 7669.59
"Banzaê", 6920.68
"Barra", 7100.75
"Barra da Estiva", 12770.72
"Barra do Choça", 12441.96
"Barra do Mendes", 7057.25
"Barra do Rocha", 11055.59
"Barreiras", 33313.17
"Barro Alto", 6713.25
"Barrocas", 14416.97
"Barro Preto", 10899.03
"Belmonte", 13649.32
"Belo Campo", 8491.27
"Biritinga", 8037.85
"Boa Nova", 7723.44
"Boa Vista do Tupim", 6890.14
"Bom Jesus da Lapa", 16025.54
"Bom Jesus da Serra", 6311.74
"Boninal", 6788.98
"Bonito", 9891.34
"Boquira", 7730.22
"Botuporã", 9251.50
"Brejões", 8551.36
"Brejolândia", 9028.37
"Brotas de Macaúbas", 8196.59
"Brumado", 25705.48
"Buerarema", 11425.49
"Buritirama", 6535.04
"Caatiba", 9749.07
"Cabaceiras do Paraguaçu", 6914.99
"Cachoeira", 12882.29
"Caculé", 12363.09
"Caém", 8708.16
"Caetanos", 6153.41
"Caetité", 17758.11
"Cafarnaum", 8408.67
"Cairu", 58268.71
"Caldeirão Grande", 7280.22
"Camacan", 9169.64
"Camaçari", 87735.29
"Camamu", 10176.51
"Campo Alegre de Lourdes", 8404.03
"Campo Formoso", 13586.60
"Canápolis", 7171.48
"Canarana", 7959.98
"Canavieiras", 11055.45
"Candeal", 7080.22
"Candeias", 53758.72
"Candiba", 8412.53
"Cândido Sales", 8351.37
"Cansanção", 8210.10
"Canudos", 7949.27
"Capela do Alto Alegre", 8311.99
"Capim Grosso", 13925.19
"Caraíbas", 8566.34
"Caravelas", 15702.49
"Cardeal da Silva", 12781.39
"Carinhanha", 8426.44
"Casa Nova", 10532.31
"Castro Alves", 11229.90
"Catolândia", 21434.45
"Catu", 11810.26
"Caturama", 6889.08
"Central", 9705.87
"Chorrochó", 7276.87
"Cícero Dantas", 9142.41
"Cipó", 7774.90
"Coaraci", 10188.23
"Cocos", 15847.36
"Conceição da Feira", 13763.25
"Conceição do Almeida", 10148.23
"Conceição do Coité", 11407.99
"Conceição do Jacuípe", 88567.45
"Conde", 11066.63
"Condeúba", 9145.92
"Contendas do Sincorá", 10399.89
"Coração de Maria", 8903.90
"Cordeiros", 7163.14
"Coribe", 9760.86
"Coronel João Sá", 9240.57
"Correntina", 45631.80
"Cotegipe", 9966.97
"Cravolândia", 7691.28
"Crisópolis", 7931.73
"Cristópolis", 8851.39
"Cruz das Almas", 15514.91
"Curaçá", 9125.15
"Dário Meira", 9758.00
"Dias d'Ávila", 42624.25
"Dom Basílio", 9683.11
"Dom Macedo Costa", 8908.89
"Elísio Medrado", 7786.15
"Encruzilhada", 11363.80
"Entre Rios", 14370.54
"Esplanada", 16975.59
"Euclides da Cunha", 10665.51
"Eunápolis", 27730.51
"Fátima", 11912.33
"Feira da Mata", 9521.62
"Feira de Santana", 24229.74
"Filadélfia", 7751.80
"Firmino Alves", 9140.08
"Floresta Azul", 8039.09
"Formosa do Rio Preto", 72379.97
"Gandu", 12003.28
"Gavião", 9197.45
"Gentio do Ouro", 12557.37
"Glória", 12935.21
"Gongogi", 8788.87
"Governador Mangabeira", 9062.74
"Guajeru", 8208.11
"Guanambi", 17158.97
"Guaratinga", 9927.51
"Heliópolis", 8061.05
"Iaçu", 8746.60
"Ibiassucê", 9549.91
"Ibicaraí", 8768.91
"Ibicoara", 19974.06
"Ibicuí", 9698.91
"Ibipeba", 7571.13
"Ibipitanga", 7087.10
"Ibiquera", 7340.79
"Ibirapitanga", 9987.83
"Ibirapuã", 31908.04
"Ibirataia", 11796.41
"Ibitiara", 6552.00
"Ibititá", 7491.39
"Ibotirama", 13701.19
"Ichu", 7582.21
"Igaporã", 12070.00
"Igrapiúna", 12199.96
"Iguaí", 7866.71
