"Local", "Salário médio mensal dos trabalhadores formais"
"Abaíra", 1.5
"Abaré", 1.8
"Acajutiba", 1.9
"Adustina", 2.0
"Água Fria", 2.3
"Érico Cardoso", 1.5
"Aiquara", 1.9
"Alagoinhas", 2.1
"Alcobaça", 1.7
"Almadina", 1.9
"Amargosa", 1.5
"Amélia Rodrigues", 1.8
"América Dourada", 2.1
"Anagé", 1.8
"Andaraí", 1.5
"Andorinha", 2.5
"Angical", 1.8
"Anguera", 1.2
"Antas", 1.9
"Antônio Cardoso", 1.4
"Antônio Gonçalves", 1.3
"Aporá", 2.1
"Apuarema", 2.7
"Aracatu", 1.4
"Araçás", 1.4
"Araci", 2.1
"Aramari", 1.5
"Arataca", 1.8
"Aratuípe", 1.8
"Aurelino Leal", 1.8
"Baianópolis", 1.9
"Baixa Grande", 2.1
"Banzaê", 1.9
"Barra", 2.1
"Barra da Estiva", 1.7
"Barra do Choça", 2.3
"Barra do Mendes", 1.5
"Barra do Rocha", 1.8
"Barreiras", 2.2
"Barro Alto", 1.8
"Barrocas", 3.4
"Barro Preto", 2.1
"Belmonte", 2.2
"Belo Campo", 1.7
"Biritinga", 2.0
"Boa Nova", 1.9
"Boa Vista do Tupim", 1.8
"Bom Jesus da Lapa", 1.8
"Bom Jesus da Serra", 1.9
"Boninal", 2.1
"Bonito", 1.8
"Boquira", 1.7
"Botuporã", 2.4
"Brejões", 1.8
"Brejolândia", 1.3
"Brotas de Macaúbas", 2.0
"Brumado", 1.9
"Buerarema", 1.7
"Buritirama", 1.9
"Caatiba", 1.5
"Cabaceiras do Paraguaçu", 1.9
"Cachoeira", 2.0
"Caculé", 1.5
"Caém", 2.0
"Caetanos", 1.4
"Caetité", 1.9
"Cafarnaum", 2.3
"Cairu", 1.6
"Caldeirão Grande", 1.3
"Camacan", 2.0
"Camaçari", 3.6
"Camamu", 1.8
"Campo Alegre de Lourdes", 2.1
"Campo Formoso", 2.1
"Canápolis", 1.4
"Canarana", 1.9
"Canavieiras", 1.7
"Candeal", 1.7
"Candeias", 3.1
"Candiba", 2.1
"Cândido Sales", 2.1
"Cansanção", 1.7
"Canudos", 1.9
"Capela do Alto Alegre", 2.0
"Capim Grosso", 1.5
"Caraíbas", 1.1
"Caravelas", 1.9
"Cardeal da Silva", 1.9
"Carinhanha", 2.2
"Casa Nova", 1.6
"Castro Alves", 1.4
"Catolândia", 1.7
"Catu", 2.7
"Caturama", 1.6
"Central", 2.1
"Chorrochó", 2.1
"Cícero Dantas", 1.9
"Cipó", 2.0
"Coaraci", 1.8
"Cocos", 1.9
"Conceição da Feira", 1.8
"Conceição do Almeida", 1.5
"Conceição do Coité", 1.6
"Conceição do Jacuípe", 1.8
"Conde", 2.3
"Condeúba", 1.5
"Contendas do Sincorá", 1.7
"Coração de Maria", 1.5
"Cordeiros", 1.6
"Coribe", 1.8
"Coronel João Sá", 2.0
"Correntina", 2.4
"Cotegipe", 1.7
"Cravolândia", 1.6
"Crisópolis", 2.0
"Cristópolis", 1.9
"Cruz das Almas", 2.9
"Curaçá", 2.0
"Dário Meira", 2.1
"Dias d'Ávila", 2.8
"Dom Basílio", 1.7
"Dom Macedo Costa", 1.6
"Elísio Medrado", 1.2
"Encruzilhada", 1.9
"Entre Rios", 2.4
"Esplanada", 1.8
"Euclides da Cunha", 2.1
"Eunápolis", 2.3
"Fátima", 2.2
"Feira da Mata", 1.7
"Feira de Santana", 1.9
"Filadélfia", 2.0
"Firmino Alves", 1.3
"Floresta Azul", 1.6
"Formosa do Rio Preto", 2.3
"Gandu", 1.6
"Gavião", 1.5
"Gentio do Ouro", 1.4
"Glória", 1.6
"Gongogi", 1.5
"Governador Mangabeira", 1.6
"Guajeru", 1.0
"Guanambi", 2.0
"Guaratinga", 2.2
"Heliópolis", 1.9
"Iaçu", 1.5
"Ibiassucê", 1.5
"Ibicaraí", 1.8
"Ibicoara", 2.0
"Ibicuí", 1.6
"Ibipeba", 1.7
"Ibipitanga", 1.3
"Ibiquera", 1.2
"Ibirapitanga", 2.1
"Ibirapuã", 1.8
"Ibirataia", 1.8
"Ibitiara", 2.0
"Ibititá", 1.7
"Ibotirama", 1.8
"Ichu", 1.6
"Igaporã", 1.6
"Igrapiúna", 1.9
"Iguaí", 1.7
"Ilhéus", 2.1
"Inhambupe", 1.8
"Ipecaetá", 1.2
"Ipiaú", 1.7
"Ipirá", 1.7
"Ipupiara", 1.3
"Irajuba", 1.8
"Iramaia", 1.7
"Iraquara", 2.5
"Irará", 1.9
"Irecê", 1.8
"Itabela", 1.8
"Itaberaba", 1.6
"Itabuna", 2.2
"Itacaré", 1.8
"Itaeté", 1.3
"Itagi", 1.8
"Itagibá", 2.3
"Itagimirim", 2.1
"Itaguaçu da Bahia", 1.7
"Itaju do Colônia", 1.5
"Itajuípe", 1.9
"Itamaraju", 1.7
"Itamari", 2.2
"Itambé", 2.1
"Itanagra", 1.9
"Itanhém", 1.6
"Itaparica", 1.6
"Itapé", 1.6
"Itapebi", 2.1
"Itapetinga", 1.6
"Itapicuru", 2.0
"Itapitanga", 1.6
"Itaquara", 1.5
"Itarantim", 1.6
"Itatim", 1.6
"Itiruçu", 1.5
"Itiúba", 2.1
"Itororó", 1.6
"Ituaçu", 2.0
"Ituberá", 1.8
"Iuiu", 1.9
"Jaborandi", 2.3
"Jacaraci", 1.5
"Jacobina", 2.1
"Jaguaquara", 1.8
"Jaguarari", 3.3
"Jaguaripe", 1.9
"Jandaíra", 1.7
"Jequié", 1.8
"Jeremoabo", 1.9
"Jiquiriçá", 1.7
"Jitaúna", 1.9
"João Dourado", 2.2
"Juazeiro", 2.1
"Jucuruçu", 1.5
"Jussara", 1.9
"Jussari", 1.7
"Jussiape", 1.5
"Lafaiete Coutinho", 1.7
"Lagoa Real", 1.6
"Laje", 1.8
"Lajedão", 1.5
"Lajedinho", 1.8
"Lajedo do Tabocal", 1.6
"Lamarão", 1.9
"Lapão", 1.6
"Lauro de Freitas", 1.7
"Lençóis", 1.8
"Licínio de Almeida", 1.6
"Livramento de Nossa Senhora", 1.6
"Luís Eduardo Magalhães", 2.1
"Macajuba", 2.4
"Macarani", 1.5
"Macaúbas", 1.9
"Macururé", 1.2
"Madre de Deus", 4.0
"Maetinga", 1.5
"Maiquinique", 1.7
"Mairi", 1.9
"Malhada", 1.7
