key_url;governor;name;percentage;votes;totalVotes;mascVotes;femnVotes
rui-costa;Rui Costa;Caetanos;95,66%;6089;9650;4591;5054
ze-ronaldo;Zé Ronaldo;Caetanos;3,93%;2500;9650;4591;5054
marcos-mendes;Marcos Mendes;Caetanos;0,03%;20;9650;4591;5054
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Caetanos;0,17%;110;9650;4591;5054
joao-santana;João Santana;Caetanos;0,16%;100;9650;4591;5054
celia-sacramento;Célia Sacramento;Caetanos;0,05%;30;9650;4591;5054
orlando-andrade;Orlando Andrade;Caetanos;0,00%;0;9650;4591;5054
rui-costa;Rui Costa;Souto Soares;95,17%;8772;13003;6495;6503
ze-ronaldo;Zé Ronaldo;Souto Soares;3,91%;3600;13003;6495;6503
marcos-mendes;Marcos Mendes;Souto Soares;0,28%;260;13003;6495;6503
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Souto Soares;0,21%;190;13003;6495;6503
joao-santana;João Santana;Souto Soares;0,14%;130;13003;6495;6503
celia-sacramento;Célia Sacramento;Souto Soares;0,27%;250;13003;6495;6503
orlando-andrade;Orlando Andrade;Souto Soares;0,02%;20;13003;6495;6503
rui-costa;Rui Costa;Iraquara;95,02%;11077;16623;8674;7946
ze-ronaldo;Zé Ronaldo;Iraquara;4,15%;4840;16623;8674;7946
marcos-mendes;Marcos Mendes;Iraquara;0,35%;410;16623;8674;7946
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Iraquara;0,21%;240;16623;8674;7946
joao-santana;João Santana;Iraquara;0,14%;160;16623;8674;7946
celia-sacramento;Célia Sacramento;Iraquara;0,10%;120;16623;8674;7946
orlando-andrade;Orlando Andrade;Iraquara;0,03%;30;16623;8674;7946
rui-costa;Rui Costa;Dom Basílio;94,69%;6228;9808;4718;5087
ze-ronaldo;Zé Ronaldo;Dom Basílio;4,35%;2860;9808;4718;5087
marcos-mendes;Marcos Mendes;Dom Basílio;0,08%;50;9808;4718;5087
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Dom Basílio;0,43%;280;9808;4718;5087
joao-santana;João Santana;Dom Basílio;0,21%;140;9808;4718;5087
celia-sacramento;Célia Sacramento;Dom Basílio;0,24%;160;9808;4718;5087
orlando-andrade;Orlando Andrade;Dom Basílio;0,00%;0;9808;4718;5087
rui-costa;Rui Costa;Jucuruçu;94,60%;471;7960;3718;4239
ze-ronaldo;Zé Ronaldo;Jucuruçu;4,72%;2350;7960;3718;4239
marcos-mendes;Marcos Mendes;Jucuruçu;0,10%;50;7960;3718;4239
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Jucuruçu;0,24%;120;7960;3718;4239
joao-santana;João Santana;Jucuruçu;0,24%;120;7960;3718;4239
celia-sacramento;Célia Sacramento;Jucuruçu;0,10%;50;7960;3718;4239
orlando-andrade;Orlando Andrade;Jucuruçu;0,00%;0;7960;3718;4239
rui-costa;Rui Costa;Andorinha;94,59%;7837;11618;5716;5902
ze-ronaldo;Zé Ronaldo;Andorinha;5,01%;4150;11618;5716;5902
marcos-mendes;Marcos Mendes;Andorinha;0,11%;90;11618;5716;5902
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Andorinha;0,11%;90;11618;5716;5902
joao-santana;João Santana;Andorinha;0,06%;50;11618;5716;5902
celia-sacramento;Célia Sacramento;Andorinha;0,10%;80;11618;5716;5902
orlando-andrade;Orlando Andrade;Andorinha;0,02%;20;11618;5716;5902
rui-costa;Rui Costa;Iuiu;94,49%;5319;8402;4068;4321
ze-ronaldo;Zé Ronaldo;Iuiu;4,80%;2700;8402;4068;4321
marcos-mendes;Marcos Mendes;Iuiu;0,02%;10;8402;4068;4321
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Iuiu;0,43%;240;8402;4068;4321
joao-santana;João Santana;Iuiu;0,16%;90;8402;4068;4321
celia-sacramento;Célia Sacramento;Iuiu;0,11%;60;8402;4068;4321
orlando-andrade;Orlando Andrade;Iuiu;0,00%;0;8402;4068;4321
rui-costa;Rui Costa;Glória;94,11%;798;12782;6576;6203
ze-ronaldo;Zé Ronaldo;Glória;5,38%;4560;12782;6576;6203
marcos-mendes;Marcos Mendes;Glória;0,01%;10;12782;6576;6203
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Glória;0,20%;170;12782;6576;6203
joao-santana;João Santana;Glória;0,14%;120;12782;6576;6203
celia-sacramento;Célia Sacramento;Glória;0,15%;130;12782;6576;6203
orlando-andrade;Orlando Andrade;Glória;0,00%;0;12782;6576;6203
rui-costa;Rui Costa;Seabra;94,11%;21373;30295;15750;14545
ze-ronaldo;Zé Ronaldo;Seabra;5,01%;1137;30295;15750;14545
marcos-mendes;Marcos Mendes;Seabra;0,35%;790;30295;15750;14545
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Seabra;0,17%;390;30295;15750;14545
joao-santana;João Santana;Seabra;0,16%;370;30295;15750;14545
celia-sacramento;Célia Sacramento;Seabra;0,20%;450;30295;15750;14545
